ID_ANIMAL;Lot;Infestation;Date;Jour_Prlv;Ht;FEC;Age;Poids;GMQinst;GMQtot;Pepsino;TM_Pep;Date dosage;Plaque_peps;Jour_serum;Tps_exc;Censure;Ht0;p0;pep0
167394;LupNInf;1;22/03/2016;J-13;NA;NA;116;36730;NA;NA;NA;NA;NA;A;NA;NA;;NA;NA;NA
167394;LupNInf;1;04/04/2016;J0;41;0;129;38230;115.4;NA;44;1167;02/06/2016;A;J0;NA;;41;38230;44
167394;LupNInf;1;18/04/2016;J14;36;NA;143;NA;NA;NA;124;1167;02/06/2016;A;J14;NA;;41;38230;44
167394;LupNInf;1;22/04/2016;J18;40;0;147;40490;125.6;NA;NA;NA;NA;A;NA;NA;;41;38230;44
167394;LupNInf;1;25/04/2016;J21;39;0;150;41350;286.7;NA;NA;NA;NA;A;NA;NA;;41;38230;44
167394;LupNInf;1;28/04/2016;J24;43;0;153;39450;-633.3;NA;NA;NA;NA;A;NA;NA;;41;38230;44
167394;LupNInf;1;04/05/2016;J30;36;0;159;41960;418.3;124.3;184;1167;02/06/2016;A;JFin;NA;;41;38230;44
167394;LupNInf;2;23/05/2016;J0;38;0;178;40830;-59.5;NA;328;1149;29/06/2016;A;J0;NA;;38;40830;328
167394;LupNInf;2;06/06/2016;J14;35;NA;192;NA;NA;NA;402;968;07/07/2016;A;J14;NA;;38;40830;328
167394;LupNInf;2;10/06/2016;J18;34;0;196;43980;175;NA;NA;NA;NA;A;NA;NA;;38;40830;328
167394;LupNInf;2;13/06/2016;J21;33;0;199;44530;183.3;NA;NA;NA;NA;A;NA;NA;;38;40830;328
167394;LupNInf;2;16/06/2016;J24;33;0;202;46680;716.7;NA;NA;NA;NA;A;NA;NA;;38;40830;328
167394;LupNInf;2;22/06/2016;J30;33;0;208;45000;-280;139;458;1149;29/06/2016;A;JFin;NA;;38;40830;328
167396;ConcNInf;1;22/03/2016;J-13;NA;NA;116;36230;NA;NA;NA;NA;NA;A;NA;NA;;NA;NA;NA
167396;ConcNInf;1;04/04/2016;J0;39;0;129;36520;22.3;NA;234;1167;02/06/2016;A;J0;NA;;39;36520;234
167396;ConcNInf;1;18/04/2016;J14;41;NA;143;NA;NA;NA;193;1167;02/06/2016;A;J14;NA;;39;36520;234
167396;ConcNInf;1;22/04/2016;J18;40;0;147;42270;319.4;NA;NA;NA;NA;A;NA;NA;;39;36520;234
167396;ConcNInf;1;25/04/2016;J21;42;0;150;42430;53.3;NA;NA;NA;NA;A;NA;NA;;39;36520;234
167396;ConcNInf;1;28/04/2016;J24;44;0;153;40500;-643.3;NA;NA;NA;NA;A;NA;NA;;39;36520;234
167396;ConcNInf;1;04/05/2016;J30;39;0;159;43880;563.3;245.3;385;1167;02/06/2016;A;JFin;NA;;39;36520;234
167396;ConcNInf;2;23/05/2016;J0;40;0;178;45950;108.9;NA;271;1149;29/06/2016;A;J0;NA;;40;45950;271
167396;ConcNInf;2;06/06/2016;J14;36;NA;192;NA;NA;NA;287;968;07/07/2016;A;J14;NA;;40;45950;271
167396;ConcNInf;2;10/06/2016;J18;37;0;196;46190;13.3;NA;NA;NA;NA;A;NA;NA;;40;45950;271
167396;ConcNInf;2;13/06/2016;J21;38;0;199;47230;346.7;NA;NA;NA;NA;A;NA;NA;;40;45950;271
167396;ConcNInf;2;16/06/2016;J24;39;0;202;48280;350;NA;NA;NA;NA;A;NA;NA;;40;45950;271
167396;ConcNInf;2;22/06/2016;J30;38;0;208;46170;-351.7;7.3;210;1149;29/06/2016;A;JFin;NA;;40;45950;271
167397;LupInf;1;22/03/2016;J-13;NA;NA;116;34610;NA;NA;NA;NA;NA;A;NA;NA;;NA;NA;NA
167397;LupInf;1;04/04/2016;J0;39;0;129;39060;342.3;NA;99;1167;02/06/2016;A;J0;NA;;39;39060;99
167397;LupInf;1;18/04/2016;J14;41;NA;143;NA;NA;NA;628;1167;02/06/2016;A;J14;NA;;39;39060;99
167397;LupInf;1;22/04/2016;J18;28;0;147;42540;193.3;NA;NA;NA;NA;A;NA;NA;;39;39060;99
167397;LupInf;1;25/04/2016;J21;24;1750;150;42580;13.3;NA;NA;NA;NA;A;NA;NA;;39;39060;99
167397;LupInf;1;28/04/2016;J24;20;7200;153;42690;36.7;NA;NA;NA;NA;A;NA;NA;;39;39060;99
167397;LupInf;1;04/05/2016;J30;21;5350;159;42380;-51.7;151.3;308;1167;02/06/2016;A;JFin;21;1;39;39060;99
167397;LupInf;2;23/05/2016;J0;36;0;178;44970;136.3;NA;214;1149;29/06/2016;A;J0;NA;;36;44970;214
167397;LupInf;2;06/06/2016;J14;44;NA;192;NA;NA;NA;647;1149;29/06/2016;A;J14;NA;;36;44970;214
167397;LupInf;2;10/06/2016;J18;37;0;196;47950;165.6;NA;NA;NA;NA;A;NA;NA;;36;44970;214
167397;LupInf;2;13/06/2016;J21;36;0;199;46670;-426.7;NA;NA;NA;NA;A;NA;NA;;36;44970;214
167397;LupInf;2;16/06/2016;J24;35;0;202;46240;-143.3;NA;NA;NA;NA;A;NA;NA;;36;44970;214
167397;LupInf;2;22/06/2016;J30;34;2900;208;46650;68.3;-108.3;288;1149;29/06/2016;A;JFin;30;1;36;44970;214
167402;ConcInf;1;22/03/2016;J-13;NA;NA;115;37200;NA;NA;NA;NA;NA;A;NA;NA;;NA;NA;NA
167402;ConcInf;1;04/04/2016;J0;39;0;128;39230;156.2;NA;121;1167;02/06/2016;A;J0;NA;;39;39230;121
167402;ConcInf;1;18/04/2016;J14;33;NA;142;NA;NA;NA;668;1167;02/06/2016;A;J14;NA;;39;39230;121
167402;ConcInf;1;22/04/2016;J18;26;0;146;43380;230.6;NA;NA;NA;NA;A;NA;NA;;39;39230;121
167402;ConcInf;1;25/04/2016;J21;26;135;149;42140;-413.3;NA;NA;NA;NA;A;NA;NA;;39;39230;121
167402;ConcInf;1;28/04/2016;J24;25;4400;152;40930;-403.3;NA;NA;NA;NA;A;NA;NA;;39;39230;121
167402;ConcInf;1;04/05/2016;J30;24;8750;158;42800;311.7;70.8;381;1167;02/06/2016;A;JFin;21;1;39;39230;121
167402;ConcInf;2;23/05/2016;J0;39;0;177;46600;200;NA;214;1149;29/06/2016;A;J0;NA;;39;46600;214
167402;ConcInf;2;06/06/2016;J14;39;NA;191;NA;NA;NA;435;1149;29/06/2016;A;J14;NA;;39;46600;214
167402;ConcInf;2;10/06/2016;J18;39;0;195;46530;-3.9;NA;NA;NA;NA;A;NA;NA;;39;46600;214
167402;ConcInf;2;13/06/2016;J21;37;0;198;47680;383.3;NA;NA;NA;NA;A;NA;NA;;39;46600;214
167402;ConcInf;2;16/06/2016;J24;37;180;201;49090;470;NA;NA;NA;NA;A;NA;NA;;39;46600;214
167402;ConcInf;2;22/06/2016;J30;34;2450;207;48200;-148.3;139.2;301;1149;29/06/2016;A;JFin;24;1;39;46600;214
167405;ConcInf;1;22/03/2016;J-13;NA;NA;114;32030;NA;NA;NA;NA;NA;A;NA;NA;;NA;NA;NA
167405;ConcInf;1;04/04/2016;J0;41;0;127;34120;160.8;NA;931;1167;02/06/2016;A;J0;NA;;41;34120;931
167405;ConcInf;1;18/04/2016;J14;34;NA;141;NA;NA;NA;2233;1167;02/06/2016;A;J14;NA;;41;34120;931
