ID_ANIMAL;Lot;Lignee;NO_Lact;Infestation;Date;Jour_Prlv;Ht;FEC;PL;TB;TP;CCS;scs;Stade;Pepsino;Date dosage;TM_Pep;Plaque_peps;pep0;Tps_exc;Censure;Ht0;PL0;TB0;TP0;scs0
10297;ConcNInf;CCS-;6;1;13/05/2016;J0;27;0;1599;339;312;1092;6.45;123;973;16/06/2016;1627;A;973;NA;;27;1599;339;312;6.45
10297;ConcNInf;CCS-;6;1;27/05/2016;J14;28;NA;1368;308;322;999;6.32;137;964;16/06/2016;1627;A;973;NA;;27;1599;339;312;6.45
10297;ConcNInf;CCS-;6;1;31/05/2016;J18;30;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;27;1599;339;312;6.45
10297;ConcNInf;CCS-;6;1;03/06/2016;J21;29;0;1083;340;301;1028;6.36;144;NA;NA;NA;NA;NA;NA;;27;1599;339;312;6.45
10297;ConcNInf;CCS-;6;1;06/06/2016;J24;28;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;27;1599;339;312;6.45
10297;ConcNInf;CCS-;6;1;13/06/2016;J31;28;15;1403;286;310;1406;6.81;154;953;16/06/2016;1627;A;973;NA;;27;1599;339;312;6.45
10297;ConcNInf;CCS-;6;2;01/07/2016;J0;29;0;976;303;327;9188;9.52;173;;;;;;NA;;29;976;303;327;9.52
10297;ConcNInf;CCS-;6;2;15/07/2016;J14;31;NA;1279;268;313;1111;6.47;187;;;;;;NA;;29;976;303;327;9.52
10297;ConcNInf;CCS-;6;2;19/07/2016;J18;29;0;NA;NA;NA;NA;NA;NA;;;;;;NA;;29;976;303;327;9.52
10297;ConcNInf;CCS-;6;2;22/07/2016;J21;30;15;1350;241;314;1010;6.34;194;;;;;;NA;;29;976;303;327;9.52
10297;ConcNInf;CCS-;6;2;25/07/2016;J24;31;0;NA;NA;NA;NA;NA;NA;;;;;;NA;;29;976;303;327;9.52
10297;ConcNInf;CCS-;6;2;01/08/2016;J31;32;0;1119;346;315;1479;6.89;204;;;;;;NA;;29;976;303;327;9.52
11032;LupNInf;CCS-;5;1;13/05/2016;J0;24;0;2151;309;321;692;5.79;116;438;16/06/2016;1627;A;438;NA;;24;2151;309;321;5.79
11032;LupNInf;CCS-;5;1;27/05/2016;J14;24;NA;1849;302;326;923;6.21;130;424;16/06/2016;1627;A;438;NA;;24;2151;309;321;5.79
11032;LupNInf;CCS-;5;1;31/05/2016;J18;25;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;24;2151;309;321;5.79
11032;LupNInf;CCS-;5;1;03/06/2016;J21;25;0;1421;260;315;1868;7.22;137;NA;NA;NA;NA;NA;NA;;24;2151;309;321;5.79
11032;LupNInf;CCS-;5;1;06/06/2016;J24;24;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;24;2151;309;321;5.79
11032;LupNInf;CCS-;5;1;13/06/2016;J31;23;0;1546;236;328;1016;6.34;147;405;16/06/2016;1627;A;438;NA;;24;2151;309;321;5.79
11032;LupNInf;CCS-;5;2;01/07/2016;J0;24;0;1777;199;327;291;4.54;166;;;;;;NA;;24;1777;199;327;4.54
11032;LupNInf;CCS-;5;2;15/07/2016;J14;27;NA;1475;249;335;1235;6.63;180;;;;;;NA;;24;1777;199;327;4.54
11032;LupNInf;CCS-;5;2;19/07/2016;J18;26;0;NA;NA;NA;NA;NA;NA;;;;;;NA;;24;1777;199;327;4.54
11032;LupNInf;CCS-;5;2;22/07/2016;J21;25;0;1546;179;327;165;3.72;187;;;;;;NA;;24;1777;199;327;4.54
11032;LupNInf;CCS-;5;2;25/07/2016;J24;26;0;NA;NA;NA;NA;NA;NA;;;;;;NA;;24;1777;199;327;4.54
11032;LupNInf;CCS-;5;2;01/08/2016;J31;28;0;1510;214;337;894;6.16;197;;;;;;NA;;24;1777;199;327;4.54
11045;ConcInf;CCS+;4;1;13/05/2016;J0;30;0;2632;193;279;563;5.49;88;762;16/06/2016;1627;A;762;NA;;30;2632;193;179;5.49
11045;ConcInf;CCS+;4;1;27/05/2016;J14;29;NA;2418;152;284;146;3.55;102;1094;16/06/2016;1627;A;762;NA;;30;2632;193;179;5.49
